"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
147.373122258428,39.3397602883034,489643126031.918,4,98,90
148.80804437217,40.6601265277493,530356873968.082,4,98,90
143.449693133421,36.7001846157475,23506117996.9444,1,95,90
145.584166878435,37.283090202527,30377941790.1292,3,97,90
146.862437966233,37.913691795622,966115940212.926,4,98,90
143.912508404069,36.4589111774635,66358650650.6139,2,96,90
145.099504553352,36.7871601278082,35454920077.4846,3,97,90
146.322523920137,37.3006236591175,918186429271.901,4,98,90
144.841308034942,39.8900646273496,44234336551.6907,3,97,90
146.522984055105,41.1143399164832,975765663448.309,3,97,90
145.966317180515,39.7294947317908,44234336551.6907,4,98,90
144.841308034942,39.8900646273496,44234336551.6907,3,97,90
146.522984055105,41.1143399164832,975765663448.309,3,97,90
147.004914425229,42.8975662174575,27094838553.5417,2,100,90
145.966760199179,43.4130618836677,30602111142.3944,3,101,90
145.750926313159,43.3161591822527,25029704191.6673,4,102,90
141.025689,37.316501,1.3412e+15,1,92,91
141.075788759811,37.2153888762904,3.353e+14,1,92,91
141.025689,37.316501,2.016e+14,1,93,92
141.475916682351,37.1997124070551,5.04e+13,1,93,92
141.025689,37.316501,2.016e+14,1,94,93
146.049439305687,39.4703651928586,437139325922.59,1,98,93
147.345940163187,40.8675171010587,9642860674077.41,2,99,93
146.049439305687,40.5703651928586,71994708824.0977,1,98,93
146.320672122122,43.3311387833946,888969112835.386,3,100,93
145.389718344533,43.7776870154683,636767787518.448,4,101,93
146.827256764993,40.2481826521638,786781364218.895,1,98,93
147.8607364277,43.2150727826447,620357975183.498,3,100,93
147.8607364277,43.2150727826447,3632860660597.61,3,100,93
147.149439305687,39.4703651928586,1323523720865.24,1,98,93
148.697095596665,42.5260886490059,3716476279134.76,2,99,93
146.827256764993,38.6925477335534,5.04e+12,1,98,93
146.049439305687,38.3703651928586,5.04e+12,1,98,93
145.271621846382,40.2481826521638,153643518929.082,1,98,93
145.730709825313,42.8341926412253,431204749000.13,3,100,93
145.730709825313,42.8341926412253,4455151732070.79,3,100,93
146.030686103479,40.9186107785662,5.04e+12,1,98,93
145.271621846382,40.2481826521638,153643518929.082,1,98,93
145.730709825313,42.8341926412253,431204749000.13,3,100,93
145.730709825313,42.8341926412253,4455151732070.79,3,100,93
145.424810693919,43.7507478156403,109779029279.078,1,102,93
146.282349701652,43.5171114658956,117774704138.614,2,103,93
147.591570429896,43.1002926700872,127107001209.278,3,104,93
149.296241458845,42.7262938596899,333792943537.443,3,104,93
145.424810693919,44.8507478156403,14928084166.752,1,102,93
146.288337603383,44.7802628679366,26127339680.5321,2,103,93
147.34756372215,44.5726088144244,34219132170.6502,3,104,93
148.768442925719,44.0621666606833,56335295098.6282,4,105,93
150.729606619725,43.6318486830334,212616987965.644,4,105,93
146.202628153224,44.5285652749455,33308690570.6706,1,102,93
146.97812050699,44.5104803771855,35093510415.3069,2,103,93
147.936823001031,44.3604518633622,31132485691.7097,3,104,93
149.281162855105,43.9633738065908,244692152404.52,3,104,93
146.524810693919,43.7507478156403,62681036017.5181,1,102,93
147.08257537193,43.6921653723559,63062443607.529,2,103,93
148.187871330595,43.3649056646785,54429379991.843,3,104,93
149.744861889054,42.9131051180767,55437393763.1158,4,105,93
151.685454296849,42.6788881583603,108616585702.201,4,105,93
146.202628153224,42.9729303563351,45320362819.3051,1,102,93
146.950290654306,42.4987763258237,40433094239.4507,2,103,93
148.109914911948,42.1228905330184,27128382306.0734,3,104,93
149.711942802296,41.9725717142093,45692697191.7343,4,105,93
149.711942802296,41.9725717142093,185652302525.643,4,105,93
145.424810693919,42.6507478156403,18829223897.4224,1,102,93
146.285853597538,42.1757228701714,21169555557.4412,2,103,93
147.512318008543,42.072288306575,304228059627.343,2,103,93
144.646993234613,44.5285652749455,33308690570.6706,1,102,93
145.727900215724,44.1123270891087,50610026971.6903,2,103,93
147.698625931117,43.660236237521,62702105451.0953,3,104,93
149.375181206599,43.190727086783,66775353816.9347,4,105,93
144.324810693919,43.7507478156403,44061626912.7638,1,102,93
144.944465443657,43.4996931667453,77217496426.5404,2,103,93
146.414024663885,43.3146829021286,222947715742.903,2,103,93
144.646993234613,44.5285652749455,33308690570.6706,1,102,93
145.727900215724,44.1123270891087,50610026971.6903,2,103,93
147.698625931117,43.660236237521,62702105451.0953,3,104,93
149.375181206599,43.190727086783,66775353816.9347,4,105,93
141.025689,37.316501,2.016e+14,1,95,94
143.642179383007,39.1977096473018,1161478771613.72,4,98,94
143.768357272033,42.0590739154307,226942449017.549,2,100,94
143.345634862818,42.975625919576,4381003485762.81,3,101,94
143.725983186661,43.2537972598637,5239758310896.89,4,102,94
143.594296509278,42.67470004656,320333512622.287,2,100,94
143.33943017732,43.3103819769072,1522611949982.27,3,101,94
143.889512427883,43.434256217222,2495963686233.74,4,102,94
144.331558829191,42.6313554447626,150102771198.285,2,100,94
144.190692851268,42.9958925183371,501034560815.704,3,101,94
144.788437951548,42.8870873125027,277972145229.454,4,102,94
145.526959606285,42.4357222233796,3994742645595.19,4,102,94
144.925451715872,42.3048170859425,183061256317.9,2,100,94
144.758927905366,42.8529720630595,233155252336.532,3,101,94
145.211375582131,43.0235854060942,293255506845.014,4,102,94
146.249540620006,42.6993739007681,4214380107339.18,4,102,94
144.14224128309,42.5261433992536,269334937118.561,3,101,94
144.496936138066,43.0638473968804,1042548758850.81,4,102,94
143.499756742235,42.2051220785021,455698934632.058,3,101,94
143.76789944483,43.2778581650283,3619826671881.64,4,102,94
142.748269197696,42.8518420815065,1421413121939.86,2,100,94
142.718251474304,43.209266682928,1476287435953.14,3,101,94
143.19866462195,43.8156278097055,1495287645933.29,4,102,94
142.604996364847,41.9539835105573,70335575372.3576,2,100,94
142.346648179395,42.6493231154942,566575604920.113,3,101,94
142.757807012663,42.8012117869423,4286940942546.16,4,102,94
142.748269197696,42.8518420815065,1421413121939.86,2,100,94
142.718251474304,43.209266682928,1476287435953.14,3,101,94
143.19866462195,43.8156278097055,1495287645933.29,4,102,94
145.257596682106,43.4080427798585,20933803656.7707,1,103,94
145.797880236238,43.311681866148,131542283955.762,1,103,94
147.645850460033,43.0346449210206,162945018003.47,2,104,94
149.348696810173,42.6606461106233,120229510829.592,3,105,94
151.273858915206,42.5755007611348,307676872585.027,3,105,94
145.797880236238,44.411681866148,34950772287.947,1,103,94
147.40943105709,44.0186680791783,54177914450.413,2,104,94
149.397030639987,43.5620775003101,109944200026.95,3,105,94
151.328555165574,43.2317695902814,60442352785.3976,4,106,94
153.368318360955,43.5427453939688,101681603136.218,4,106,94
146.575697695543,44.0894993254532,65771141977.8809,1,103,94
148.00438328936,43.7829964242632,48088227569.1941,2,104,94
149.498972391527,43.3320667926189,99950398554.5038,3,105,94
151.423166177543,43.0017588825902,54948212356.7371,4,106,94
146.897880236238,43.311681866148,80903196834.116,1,103,94
148.083228561302,43.0670139269415,83755792804.7469,2,104,94
150.047640744769,42.9034862312768,70109569073.8627,3,105,94
151.873426376756,42.6403839254695,36497201244.4729,4,106,94
146.575697695543,42.5338644068428,40768495571.8797,1,103,94
148.088719999004,42.5295689959102,68059738431.9406,2,104,94
149.717959722809,42.2079702354566,49845047143.2006,3,105,94
151.622678792764,42.3264738335334,202523561539.905,3,105,94
145.797880236238,42.211681866148,23498563823.4965,1,103,94
147.225886091347,42.6952439839161,46885644209.2781,2,104,94
148.958153553265,42.6642405142863,290812634654.151,2,104,94
145.020062776933,44.0894993254532,53929656522.2656,1,103,94
146.898039613555,43.629279934262,69700594478.5387,2,104,94
149.193201700647,43.4317865552542,86393226492.4123,3,105,94
151.172864285681,43.1254288065572,59755770527.1344,4,106,94
144.697880236238,43.311681866148,312623155631.771,1,103,94
145.020062776933,44.0894993254532,53929656522.2656,1,103,94
146.898039613555,43.629279934262,69700594478.5387,2,104,94
149.193201700647,43.4317865552542,86393226492.4123,3,105,94
151.172864285681,43.1254288065572,59755770527.1344,4,106,94
145.281722828293,43.509435555089,30359712859.0659,1,103,94
147.23065459631,44.0636869369086,24037969399.7744,2,104,94
149.706116720229,44.0084430009614,25818384683.2335,3,105,94
144.555534468044,44.1058468069054,28444669710.7732,1,103,94
144.555534468044,44.1058468069054,28444669710.7732,1,103,94
141.025689,37.316501,2.016e+14,1,96,95
141.453862387407,37.6038169473416,13635430063377.8,2,97,95
142.014494856759,40.6071995174001,105033909032.948,1,100,95
142.406230726936,41.9671923874129,220950357143.789,2,101,95
142.938357111194,42.7708157520673,7026929721147.7,3,102,95
