"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen"
146.86961933193,47.8833555471654,75460589798.9332,2,103
147.744443469968,46.7634996506881,58556974447.1787,1,102
147.292433333091,47.1106184251123,49563146389.8468,2,103
147.255060693103,47.1842699028772,41916579380.1546,3,104
147.829444351069,46.9052008228489,45580527665.4549,4,105
147.422260929273,45.9856821913829,24315411599.7072,1,102
147.31960570522,46.3875234556376,42081627604.5579,2,103
147.465125484163,46.4894796695216,47231513298.9232,3,104
148.241299504766,46.1884925630626,141296203437.051,3,104
146.644443469968,45.6634996506881,15345450651.3355,1,102
146.989602691371,45.8656110846863,29482280449.3392,2,103
146.989602691371,45.8656110846863,210097024839.565,2,103
145.866626010663,47.5413171099934,52122365429.3774,1,102
145.919788745488,47.5542948457181,42262758594.3177,2,103
146.398754559479,47.2579526190324,41119331139.9634,3,104
